Index,Name,Time,Quantity,Height,Area,Area %
,,[Min],[% Area],[µV],[µV.Min],[%]
1,UNKNOWN_2,0.97,48.8,314994266.5,2058010.3,48.796
2,UNKNOWN_4,2.27,0.02,2327.3,684.6,0.016
3,UNKNOWN,4.91,0.01,1143.8,227.1,0.005
4,UNKNOWN_6,5.89,0.01,5352.7,528.6,0.013
5,UNKNOWN,6.15,0,757.1,74.5,0.002
6,UNKNOWN,6.56,0.07,46804.5,3013,0.071
31,UNKNOWN,6.72,0.01,4100,212.9,0.005
7,UNKNOWN,6.86,0.01,10901.9,498.3,0.012
32,UNKNOWN_7,6.94,0.02,17829.8,909.3,0.022
8,UNKNOWN_8,7.05,4.17,1201484,175913.9,4.171
49,UNKNOWN,7.48,0.06,99948.5,2695.9,0.064
9,UNKNOWN,7.5,1.01,463723.4,42750.9,1.014
10,UNKNOWN_9,7.71,0.86,491229.5,36279.1,0.86
52,UNKNOWN,7.76,0.11,522030,4457.5,0.106
11,UNKNOWN,7.79,1.8,2672661.7,75891.1,1.799
50,UNKNOWN_10,7.83,1.69,2823919.7,71382.2,1.693
51,UNKNOWN_11,8.09,38.79,4612395.8,1635952.7,38.789
12,UNKNOWN_12,8.58,0.03,152661.2,1361.5,0.032
53,UNKNOWN,8.6,0.11,332597.5,4793.9,0.114
54,UNKNOWN,8.61,0.45,328909.1,18874.1,0.448
13,UNKNOWN,8.79,0.04,35850.3,1554.6,0.037
33,UNKNOWN,8.88,0,4498.1,197.3,0.005
14,UNKNOWN,8.96,0.01,5822,302.7,0.007
34,UNKNOWN,9.01,0.01,12551.9,614,0.015
15,UNKNOWN,9.11,0,3133.1,183.1,0.004
35,UNKNOWN,9.19,0.01,4912.7,307.2,0.007
36,UNKNOWN,9.24,0.01,5016.7,297.5,0.007
16,UNKNOWN_13,9.37,0.1,92369.1,4105.8,0.097
48,UNKNOWN,9.41,0.27,141916.9,11415.1,0.271
17,UNKNOWN_1,9.63,0.06,17381.6,2605.6,0.062
37,UNKNOWN,9.81,0.01,5024.2,415.5,0.01
18,UNKNOWN,9.93,0.02,11805.1,802.7,0.019
19,UNKNOWN,10.04,0.01,8917.9,456.2,0.011
38,UNKNOWN,10.08,0.01,9417.9,493.4,0.012
39,UNKNOWN,10.14,0.04,15105.9,1499.8,0.036
20,UNKNOWN,10.53,0.03,19656.2,1064.4,0.025
47,UNKNOWN,10.56,0.04,19522.6,1774.6,0.042
21,UNKNOWN_14,10.71,0.05,34218.1,2150.6,0.051
40,UNKNOWN,10.76,0.02,33543.6,633.5,0.015
41,UNKNOWN,10.8,0.09,60867.9,3769.7,0.089
45,UNKNOWN,10.86,0.04,61609.9,1871,0.044
46,UNKNOWN,10.9,0.43,120243.9,18310.1,0.434
22,UNKNOWN,11.34,0.07,23900.5,2856,0.068
42,UNKNOWN,11.45,0.02,17575.5,643.8,0.015
23,UNKNOWN,11.51,0.02,23524.3,798.9,0.019
43,UNKNOWN,11.55,0.23,44382.2,9525.9,0.226
24,UNKNOWN,12.05,0.03,14077.9,1168.6,0.028
44,UNKNOWN,12.1,0.11,22277.6,4463.2,0.106
25,UNKNOWN,12.47,0.07,16807,2944.5,0.07
26,UNKNOWN,12.7,0.05,9213,2018.5,0.048
27,UNKNOWN,13.12,0.03,5130.6,1088.8,0.026
28,UNKNOWN,13.41,0.03,5069,1127.9,0.027
29,UNKNOWN,13.81,0.01,2283.8,243.4,0.006
30,UNKNOWN,14,0.03,4543,1331.2,0.032
,,,,,,
Total,-,-,100,329697213.8,4217546.6,100
