Index,Name,Time,Quantity,Height,Area,Area %,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,[Min],[% Area],[µV],[µV.Min],[%],,Area heptano (µV.Min),2631704.3
1,UNKNOWN_2,0.96,84.54,389991684.7,2631704.3,84.543,,Area SI (µV.Min),98324.5
2,UNKNOWN,2.37,0.01,773,260.9,0.008,,Peso SI (mg),103.8
3,UNKNOWN_6,5.93,0.01,2552.3,273,0.009,,Volumen total SI (mL),10.0
4,UNKNOWN,6.11,0.01,3177.9,267.7,0.009,,Conc SI (mg/ml),10.379999999999999
35,UNKNOWN,6.37,0,318.8,28.6,0.001,,Vol SI alicuota (mL),1.0
5,UNKNOWN,6.56,0,597.2,25.5,0.001,,Peso muestra (mg),259.5
36,UNKNOWN,6.62,0.02,11859.8,574.1,0.018,,Area FAMES,382843.1000000001
37,UNKNOWN,6.74,0,1191,80.3,0.003,,% FAMEs,0.15574677725287187
6,UNKNOWN_7,6.88,0.01,5060.6,206.2,0.007,,R,1.0885297771007398
38,UNKNOWN_8,6.97,0.01,5472.6,262.1,0.008,,,0.16953500472722718
39,UNKNOWN,7.08,0,423.4,14.2,0,,,
7,UNKNOWN,7.14,1.18,392062,36769,1.181,,,
40,UNKNOWN,7.4,0,2028.3,29.2,0.001,,,
8,UNKNOWN,7.47,2.61,694100.4,81231,2.61,,,
9,UNKNOWN_9,7.77,3.45,2177417.5,107360.6,3.449,,,
31,UNKNOWN_10,7.84,1.15,1401534.5,35707.2,1.147,,,
32,UNKNOWN,7.87,1.2,1150090.4,37498.2,1.205,,,
33,UNKNOWN,7.9,0.15,769048.7,4775.1,0.153,,,
34,UNKNOWN,7.91,3.71,1298022.1,115386.2,3.707,,,
10,UNKNOWN_11,8.15,0.72,373114.6,22333.2,0.717,,,
41,UNKNOWN,8.32,0.01,8366.5,414.9,0.013,,,
11,UNKNOWN_12,8.4,0,2328.5,64,0.002,,,
42,UNKNOWN,8.43,0,2936.8,103.5,0.003,,,
43,UNKNOWN,8.49,0.16,80235.4,5080.6,0.163,,,
12,UNKNOWN,8.69,0.01,8918.1,282.7,0.009,,,
44,UNKNOWN,8.78,0,968.6,36,0.001,,,
13,UNKNOWN,8.86,0,2293.1,79.6,0.003,,,
45,UNKNOWN,8.92,0,3366.2,112.6,0.004,,,
14,UNKNOWN,9.03,0,497.5,24.6,0.001,,,
46,UNKNOWN,9.08,0,915.1,65.2,0.002,,,
47,UNKNOWN,9.16,0,976.6,41.1,0.001,,,
15,UNKNOWN_13,9.29,0.04,22800.8,1123,0.036,,,
49,UNKNOWN,9.37,0.13,71118.8,3906.9,0.126,,,
16,UNKNOWN_1,9.53,0.01,5306.8,252.7,0.008,,,
48,UNKNOWN,9.58,0.02,5582.5,538.8,0.017,,,
17,UNKNOWN,9.84,0,2711.9,100,0.003,,,
50,UNKNOWN,9.88,0.01,3145.1,237.7,0.008,,,
51,UNKNOWN,9.99,0,1517.9,53.5,0.002,,,
18,UNKNOWN,10.08,0.02,6021.8,611.3,0.02,,,
19,UNKNOWN,10.33,0,536.3,25.6,0.001,,,
20,UNKNOWN,10.57,0.02,4187.5,575.8,0.018,,,
21,UNKNOWN_14,10.73,0.02,11762.7,512.6,0.016,,,
53,UNKNOWN,10.77,0.01,9456.1,187.6,0.006,,,
52,UNKNOWN,10.81,0.11,31323.6,3331.4,0.107,,,
22,UNKNOWN,10.96,0.28,50831.8,8605.9,0.276,,,
23,UNKNOWN,11.3,0.1,19297.8,2988.1,0.096,,,
54,UNKNOWN,11.52,0.01,7081,363.8,0.012,,,
24,UNKNOWN,11.59,0.01,9351.2,341.5,0.011,,,
55,UNKNOWN,11.63,0.15,25434.3,4794.2,0.154,,,
25,UNKNOWN,12.09,0.01,3527.2,452.8,0.015,,,
26,UNKNOWN,12.24,0.04,6795.5,1154.7,0.037,,,
27,UNKNOWN,12.63,0.02,3826.2,527.4,0.017,,,
28,UNKNOWN,12.78,0.02,3591,657.1,0.021,,,
29,UNKNOWN,13.21,0.01,1289.7,310.4,0.01,,,
30,UNKNOWN,13.57,0,764.7,127.7,0.004,,,
,,,,,,,,,
Total,-,-,100,398699594,3112871.9,100,,,
